//class,name,baseHP,baseSP,baseSTR,baseAGI,baseVIT,baseINT,baseDEX,baseLUK,baseIntimacy,baseHungry,hungryDelay,foodID,gminHP,gmaxHP,gminSP,gmaxSP,gminSTR,gmaxSTR,gminAGI,gmaxAGI,gminVIT,gmaxVIT,gminINT,gmaxINT,gminDEX,gmaxDEX,gminLUK,gmaxLUK,evol_class,baseASPD,size,race,element,accessID
6001,Lif,150,40,34,40,30,70,46,24,21,32,60000,537,60,100,6,14,8,29,8,29,8,29,6,30,9,30,9,30,6009,700,0,0,0,0
6002,Amistr,320,10,40,34,70,22,42,24,21,32,60000,912,80,130,2,6,12,30,6,30,6,30,2,15,5,29,5,29,6010,700,0,0,0,0
6003,Filir,90,25,58,70,18,16,60,18,21,32,60000,910,45,75,5,9,6,30,12,30,2,15,5,29,6,30,5,29,6011,700,0,0,0,0
6004,Vanilmirth,80,11,22,22,22,22,22,22,21,32,60000,911,30,150,1,11,2,45,2,45,2,45,2,45,2,45,2,45,6012,700,0,0,0,0
6005,Lif,150,40,17,20,15,35,24,12,21,32,60000,537,60,100,6,14,8,29,8,29,8,29,6,30,9,30,9,30,6013,700,0,0,0,0
6006,Amistr,320,10,40,34,70,22,48,24,21,32,60000,912,80,130,2,6,12,30,6,30,6,30,2,15,5,29,5,29,6014,700,0,0,0,0
6007,Filir,90,25,58,70,18,16,60,18,21,32,60000,910,45,75,5,9,6,30,12,30,2,15,5,29,6,30,5,29,6015,700,0,0,0,0
6008,Vanilmirth,80,11,22,22,22,22,22,22,21,32,60000,911,30,150,1,11,2,45,2,45,2,45,2,45,2,45,2,45,6016,700,0,0,0,0
6009,Lif_H,150,40,34,40,30,70,48,24,21,32,40000,537,60,100,6,14,8,29,8,29,8,29,6,30,9,30,9,30,0,800,1,0,0,0
6010,Amistr_H,320,10,40,34,70,22,48,24,21,32,40000,912,80,130,2,6,12,30,6,30,6,30,2,15,5,29,5,29,0,800,1,0,0,0
6011,Filir_H,90,25,58,70,18,16,60,18,21,32,40000,910,45,75,5,9,6,30,12,30,2,15,5,29,6,30,5,29,0,800,1,0,0,0
6012,Vanilmirth_H,80,11,22,22,22,22,22,22,21,32,40000,911,30,150,1,11,2,45,2,45,2,45,2,45,2,45,2,45,0,800,1,0,0,0
6013,Lif_H,150,40,34,40,30,70,48,24,21,32,40000,537,60,100,6,14,8,29,8,29,8,29,6,30,9,30,9,30,0,800,1,0,0,0
6014,Amistr_H,320,10,40,34,70,22,48,24,21,32,40000,912,80,130,2,6,12,30,6,30,6,30,2,15,5,29,5,29,0,800,1,0,0,0
6015,Filir_H,90,25,58,70,18,16,60,18,21,32,40000,910,45,75,5,9,6,30,12,30,2,15,5,29,6,30,5,29,0,800,1,0,0,0
6016,Vanilmirth_H,80,11,22,22,22,22,22,22,21,32,40000,911,30,150,1,10,2,45,2,45,2,45,2,45,2,45,2,45,0,800,1,0,0,0
