// for mobs
// mob_id,sprite_id,equip #
// Use another mob's sprite for a monster.  0 for sprite will disable mob.
// Mob must have an equipment it's pet counterpart can use or it will cause problems.  If no equip use 0.
// The following if a player sprite is used
// MobID,SpriteID,Sex,Hair,Hair_Color,Weapon,Shield,Head_Top,Head_Middle,Head_Bottom,Option,Dye_Color
// Use Item ID for weapons and shields, not View ID.

2999,1038,0	//g_osiris (Custom)
3250,1132,0	//Giant Khalitzburg
3251,1582,0	//Giant Deviling
3301,1288,0	//Fake Emperium
3302,1398,0	//Event Crystal 1
3303,1398,0	//Event Crystal 2

3001,1091,0		//G_DRAGON_FLY
3002,1092,0		//G_VAGABOND_WOLF
3003,1089,0		//G_TOAD

// MobID,SpriteID,Sex,Hair,Hair_Color,Weapon,Shield,Head_Top,Head_Middle,Head_Bottom,Option,Dye_Color
//-=-=-=-CSS25 Custom Mob Avail(MALE)-=-=-=-
3068,0,1,8,8,1218,1,16,65,0,0,0 //novice
3069,1,1,2,7,1163,2,40,100,53,0,0 // Swordman
3070,2,1,18,6,1473,0,130,0,55,0,0 // Mage
3071,3,1,16,5,1716,0,72,0,56,0,0 // Archer
3072,4,1,5,4,1515,2102,11,0,57,0,0 // Aco
3073,5,1,17,3,1363,2,86,78,0,40,0 // Merchant
3074,6,1,15,2,1222,2102,67,0,8,0,0 // Thief

3075,7,1,14,1,1161,3,40,100,53,0,0 //Knight
3076,8,1,5,8,1551,0,93,68,0,0,9 //Priest
3077,9,1,18,7,1473,0,112,68,0,0,0 // Wizard
3212,9,1,18,7,1473,0,76,68,0,0,0 // Wizard Pre-caster
3078,10,1,17,6,1365,2,32,0,54,512,0 // BS
3079,11,1,16,5,1718,0,72,83,0,16,0 // Hunter
3080,12,1,15,4,1255,0,48,0,52,0,0  // Assassin 
3081,13,1,7,3,1161,3,103,100,53,32,0 // Knight Peco

3082,14,1,8,2,1468,3,103,100,53,0,0 // Crusader
3083,15,1,5,1,1812,0,93,78,57,0,0 // Monk
3084,16,1,18,8,1552,0,105,68,0,0,0 // Sage
3085,17,1,15,7,1240,2,110,0,52,0,0 // Rogue
3086,18,1,17,6,1365,0,181,0,56,256,0 // Alchemist
3087,19,1,16,5,1913,0,105,83,56,0,0 // Bard
3088,21,1,8,3,1468,3,88,100,53,32,0 // Crusader (Peco)

//3090,4001,1,8,1,1218,1,38,0,0,0,0 // NH
3091,4002,1,2,8,1163,2,40,100,53,0,0 //SH
3092,4003,1,18,7,1473,0,130,0,0,0,0 //MH
3093,4004,1,16,6,1716,0,72,83,0,0,0 //AH
3094,4005,1,5,5,1515,2102,11,0,0,0,0 //ACH
3095,4006,1,17,4,1363,2,38,0,0,40,0 //MCH
3096,4007,1,15,3,1222,2102,67,0,8,0,0 //TH

// MobID,SpriteID,Sex,Hair,Hair_Color,Weapon,Shield,Head_Top,Head_Middle,Head_Bottom,Option,Dye_Color
// Normal
3097,4014,1,14,2,1416,3,103,507,100,32,1 //LK - Turok
3098,4009,1,5,1,1552,2,105,506,57,0,1 //HP - Bola
3099,4010,1,18,5,1473,1,606,82,56,0,1 //HW - Dr.Pimpolho
3100,4011,1,17,7,1368,2,601,345,57,1024,1 //WS - Elfo
3101,4012,1,16,6,1720,0,603,509,56,16,1 //SNIPER - Baltazar
3102,4013,1,15,5,1261,0,138,503,52,0,1 //ASC - Meteoro
3103,4022,1,8,4,1137,4,602,100,53,32,1 //PALADIN - Yuri
3104,4016,1,5,3,1814,0,165,504,57,0,1 //CHAMPION - Gleen
3105,4017,1,18,2,1552,0,605,73,55,0,1 //PROF - HotGuy
3106,4018,1,15,1,1240,2,110,502,52,0,1 //STALKER - T.Roz
3107,4019,1,17,8,1366,2,30,508,57,1024,1 //CREATOR - Hermes
3108,4020,1,16,7,1913,0,604,505,56,0,1 //CLOWN - Sola
3157,4021,0,18,6,1963,0,117,505,56,0,0 //GYPSY - Yuufa

3142,4008,0,12,7,1416,3,115,507,100,0,1 //LK - Chii
3146,4012,0,3,8,1720,0,197,509,56,16,0 //SNIPER - Krool
3152,4019,0,20,1,1366,2,182,508,56,1024,0 //CREATOR - Dimasi
3089,23,1,8,2,1218,1,193,125,510,8,1 // SNovice - Spok
