//
// Structure of Database :
//ID,Sprite_Name,kROName,iROName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,ADelay,aMotion,dMotion,MEXP,ExpPer,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper

//arug_cas03
1324,TREASURE_BOX1,Treasure Chest,Treasure Chest,99,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,20,0x120,0,0,0,0,0,0,0,0,0,0,0,0,1368,40,5003,80,1164,40,2615,200,16711,80,5018,120,607,3900,12103,2900,985,1000,0,0
1945,TREASURE_BOX48,Treasure Chest,Treasure Chest,99,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,20,0x120,0,0,0,0,0,0,0,0,0,0,0,0,1552,120,5002,120,5016,80,5081,80,5170,200,607,2000,12103,3200,608,400,658,2000,0,0
//gefg_cas02
1336,TREASURE_BOX13,Treasure Chest,Treasure Chest,99,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,20,0x120,0,0,0,0,0,0,0,0,0,0,0,0,1368,40,5003,80,1164,40,2615,200,16711,80,5018,120,607,3900,12103,2900,985,1000,0,0
1337,TREASURE_BOX14,Treasure Chest,Treasure Chest,99,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,20,0x120,0,0,0,0,0,0,0,0,0,0,0,0,1552,120,5002,120,5016,80,5081,80,5170,200,607,2000,12103,3200,608,400,658,2000,0,0
//prtg_cas01
1354,TREASURE_BOX31,Treasure Chest,Treasure Chest,99,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,20,0x120,0,0,0,0,0,0,0,0,0,0,0,0,1368,40,5003,80,1164,40,2615,200,16711,80,5018,120,607,3900,12103,2900,985,1000,0,0
1355,TREASURE_BOX32,Treasure Chest,Treasure Chest,99,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,20,0x120,0,0,0,0,0,0,0,0,0,0,0,0,1552,120,5002,120,5016,80,5081,80,5170,200,607,2000,12103,3200,608,400,658,2000,0,0
//prtg_cas02
1356,TREASURE_BOX33,Treasure Chest,Treasure Chest,99,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,20,0x120,0,0,0,0,0,0,0,0,0,0,0,0,1368,40,5003,80,1164,40,2615,200,16711,80,5018,120,607,3900,12103,2900,985,1000,0,0
1357,TREASURE_BOX34,Treasure Chest,Treasure Chest,99,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,20,0x120,0,0,0,0,0,0,0,0,0,0,0,0,1552,120,5002,120,5016,80,5081,80,5170,200,607,2000,12103,3200,608,400,658,2000,0,0

//Custom:
2999,G_OSIRIS,Osiris,Osiris,78,50000,0,0,0,1,5,8000,20,50,1,100,50,150,300,60,10,10,1,1,89,1173,100,1072,672,384,7710,5000,603,4000,608,3000,751,500,617,2000,1232,150,2235,100,1255,600,1009,1000,5053,1,984,3783,0,0,0,0,4144,1

3001,G_DRAGON_FLY,Super ChonChon,Super ChonChon,8,2400,0,88,44,1,22,27,20,30,1,20,8,15,17,5,10,10,0,4,24,1173,100,1076,576,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3002,G_VAGABOND_WOLF,Wolf,Wolf,24,12240,0,247,176,1,135,159,25,35,1,45,48,20,50,65,10,10,1,2,22,1173,150,1048,648,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3003,G_TOAD,Big Thara,Big Thara,10,5065,0,100,50,1,26,32,0,25,1,5,10,10,10,25,10,10,1,5,21,1173,200,1236,336,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3004,G_WILD_ROSE1,Wild Rose,Wild Rose,38,1,0,111,68,1,1,2,1,2,1,2,3,4,5,6,10,12,0,2,24,131,100,964,864,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3005,G_WILD_ROSE2,Wild Roses,Wild Roses,38,1,0,111,68,1,1,2,1,2,1,2,3,4,5,6,10,12,0,2,24,131,100,964,864,288,1,100,7539,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

//====================================
